S_ID,station_no,Store_type,Location_ID,name_tw,district_tw,address_tw,lat,lng,Section
30184,"""501314028""",3,300184,"""臺南地院(健康二街)""",台南市安平區,"""健康二街16號西側""","""22.98443""","""120.17242""",5.0
30185,"""501314029""",3,300185,"""府平公園(郡平路)""",台南市安平區,"""郡平路46號南側""","""22.98844""","""120.17223""",5.0
30186,"""501314030""",3,300186,"""承天橋(平通路580巷)""",台南市安平區,"""慶平路555號北側""","""22.99755""","""120.17090""",5.0
30187,"""501314031""",3,300187,"""水景停車場""",台南市安平區,"""湖內一街99巷33號北側""","""22.99945""","""120.15803""",5.0
30188,"""501314032""",3,300188,"""觀夕平台""",台南市安平區,"""安港路202號東南側""","""22.99048""","""120.14755""",5.0
30189,"""501314033""",3,300189,"""安北路370巷""",台南市安平區,"""安北路370巷1弄1號東側""","""23.00049""","""120.15375""",5.0
30190,"""501314034""",3,300190,"""安平國中""",台南市安平區,"""育平路501號東側""","""22.99746""","""120.16761""",5.0
30191,"""501314035""",3,300191,"""南市區漁會""",台南市安平區,"""大平路66號""","""22.99654""","""120.15367""",5.0
30192,"""501314037""",3,300192,"""永華育平路口""",台南市安平區,"""永華路二段869號前""","""22.99148""","""120.16704""",5.0
30193,"""501315001""",3,300193,"""安定區公所(停車場)""",台南市安定區,"""安定區安定里安定443-1號對側""","""23.12098""","""120.23655""",6.0
30194,"""501315002""",3,300194,"""蘇厝橋""",台南市安定區,"""安定區蘇厝里蘇厝293-69號西側""","""23.12499""","""120.25136""",6.0
30195,"""501316001""",3,300195,"""臺灣歷史博物館""",台南市安南區,"""長和路一段250號""","""23.05829""","""120.23282""",8.0
30196,"""501316002""",3,300196,"""台江文化中心""",台南市安南區,"""安中路二段136號(對側人行道)""","""23.04617""","""120.18795""",8.0
30197,"""501316003""",3,300197,"""台江國家公園遊客中心""",台南市安南區,"""四草大道118號東側""","""23.00254""","""120.13935""",8.0
30198,"""501316004""",3,300198,"""四草綠色隧道""",台南市安南區,"""大眾路360號南側""","""23.01927""","""120.13589""",8.0
30199,"""501316006""",3,300199,"""媽祖宮公園""",台南市安南區,"""媽祖宮一街136號東南側""","""23.03660""","""120.12509""",8.0
30200,"""501316008""",3,300200,"""鹿耳門公園""",台南市安南區,"""城安路85號""","""23.06637""","""120.12684""",8.0
30201,"""501316009""",3,300201,"""新順公園""",台南市安南區,"""安豐六街200號北側""","""23.04627""","""120.21619""",8.0
30202,"""501316010""",3,300202,"""南路寮公園""",台南市安南區,"""培安路410號東側""","""23.03840""","""120.21321""",8.0
30203,"""501316011""",3,300203,"""頂順頂安""",台南市安南區,"""頂安街260巷71弄26號西側""","""23.04563""","""120.21042""",8.0
30204,"""501316012""",3,300204,"""梅花友愛公園""",台南市安南區,"""安中路一段557巷20號南側""","""23.03986""","""120.19917""",8.0
30205,"""501316013""",3,300205,"""九份子國中小""",台南市安南區,"""九份子大道8號""","""23.02196""","""120.18479""",8.0
30206,"""501316014""",3,300206,"""溪仔墘植物公園""",台南市安南區,"""海佃路一段372巷55號南側""","""23.02808""","""120.19255""",8.0
30207,"""501316015""",3,300207,"""溪東親子公園""",台南市安南區,"""富東路215號東側""","""23.02747""","""120.19788""",8.0
30208,"""501316016""",3,300208,"""海佃休閒公園""",台南市安南區,"""郡安路六段55巷76號東側""","""23.02729""","""120.18768""",8.0
30209,"""501316018""",3,300209,"""長安國小""",台南市安南區,"""長溪路三段249號""","""23.06551""","""120.19775""",8.0
30210,"""501316019""",3,300210,"""安順國中""",台南市安南區,"""安和路三段227號""","""23.04961""","""120.21859""",8.0
30211,"""501316020""",3,300211,"""州北里運動公園""",台南市安南區,"""安昌街22號""","""23.06793""","""120.21785""",8.0
